User ID,Date,SKU
264BCFBA,12/24/2017,302445
570B6CA,12/10/2017,135119
237446F5,11/10/2017,135119
1388A512,12/10/2017,141244
16457B5F,11/22/2017,181450
30CE3C6F,11/29/2017,173025
8F897D0,11/24/2017,169942
357C6A08,11/11/2017,211153
1176C301,11/8/2017,261275
18066BCE,12/1/2017,236520
14B8232C,12/6/2017,221278
22A95C72,12/18/2017,167688
4E45B14,12/17/2017,245003
2CBC17D6,12/27/2017,213702
2DD33BBE,12/3/2017,158770
B999DE2,12/14/2017,266071
196419AD,11/6/2017,280237
382F060,12/13/2017,141244
13499803,11/12/2017,274152
2E3B8447,11/5/2017,255300
13A29EFA,12/30/2017,275472
11F7D29D,11/23/2017,286092
2155F908,11/4/2017,131559
28BE84C7,11/19/2017,239263
9F747B7,11/24/2017,191308
1312E38E,12/19/2017,122451
1E4C6BCD,12/31/2017,178394
1D173845,12/4/2017,169942
22529B08,11/16/2017,271285
5747671,11/16/2017,276151
30EBB237,12/27/2017,145748
25F501E9,12/9/2017,299237
39745585,11/17/2017,206439
27C53FB6,11/16/2017,279207
5180E16,12/28/2017,187907
FB07696,12/29/2017,178735
14DF93FF,11/28/2017,141861
1E768527,11/2/2017,260400
23C93A41,11/28/2017,155500
A92D846,12/22/2017,198742
3812D07E,12/25/2017,278833
34D32759,11/2/2017,299237
23C93A41,11/1/2017,292126
10CF94E6,12/29/2017,286092
527CAD4,12/6/2017,245003
1CAEEC47,12/23/2017,140219
71CE5C9,12/20/2017,151661
A11DAD3,12/9/2017,189455
FB07696,11/5/2017,166408
19E2024A,12/20/2017,279207
B036CDE,11/24/2017,274152
20F0103B,12/22/2017,241864
C68E893,11/23/2017,151661
17F3BB20,12/9/2017,202579
2C6D0984,12/11/2017,257107
31D4FA88,12/13/2017,178735
245ACFC7,11/5/2017,198206
39D656ED,11/6/2017,236520
584F14B,12/16/2017,173982
31671530,11/11/2017,202579
3B21C9D5,12/10/2017,197201
2EC4DABF,11/24/2017,274152
6039971,11/29/2017,300050
3D37D85,11/25/2017,249218
1F4DA234,11/20/2017,226649
1BE7EA89,11/25/2017,129446
1CAEEC47,11/9/2017,250109
EBDEE,12/7/2017,195053
118469CB,12/3/2017,297011
2D5E88A6,11/11/2017,143768
33B9816C,11/30/2017,137551
296394F3,12/25/2017,150031
18861847,11/6/2017,124549
2FC9B37F,11/29/2017,126412
A927D65,11/28/2017,131559
3C7E4EB,11/30/2017,250997
280C31FA,12/24/2017,140219
1746E431,12/9/2017,282539
1078F17D,12/15/2017,186064
36C97AFF,11/30/2017,137072
339C055,12/7/2017,124549
31C49845,12/24/2017,282539
25B6E82D,11/21/2017,191308
7B2432B,11/19/2017,303791
19A7BFA7,12/19/2017,141740
361C190C,11/30/2017,215392
2AB11B64,12/29/2017,162348
123FEDC4,11/17/2017,126412
1344DAB4,11/7/2017,206439
169970B4,12/2/2017,219484
21999522,12/13/2017,214049
31F7C267,11/9/2017,221278
1176C301,11/1/2017,251718
13A29EFA,11/30/2017,294967
82F4C12,12/14/2017,286092
1C5680FE,11/28/2017,290473
69051BA,11/14/2017,141244
1F611158,11/2/2017,206439
24958B97,12/11/2017,275472
36461654,11/1/2017,138907
21BAE7C,12/3/2017,191308
FC3A2CC,11/13/2017,242932
19F368E3,12/8/2017,137551
31F7C267,11/18/2017,198742
37F550B3,12/30/2017,157310
423BED3,12/3/2017,302445
255AF334,11/26/2017,225315
2EF17CC3,12/23/2017,222124
30D8ED8C,12/24/2017,245741
20A34F18,11/14/2017,193499
45451F2,11/9/2017,239815
220CD212,11/4/2017,151269
23BE43AA,12/26/2017,283851
28D41F65,12/25/2017,234548
1272BD43,12/3/2017,249218
36ECD302,12/14/2017,126412
39745585,12/13/2017,234548
1E4C6BCD,12/27/2017,261275
1351905D,11/4/2017,213228
359281D8,11/24/2017,213228
14E820E,11/16/2017,200172
320F9D72,11/6/2017,158770
3B14659D,12/19/2017,142089
22791D11,12/30/2017,155582
3688B8EE,11/30/2017,288550
2AF907CD,12/18/2017,186796
33485106,12/20/2017,250190
18066BCE,12/1/2017,223062
35A8293C,12/14/2017,303791
16C2D0F2,11/10/2017,263281
15B2CE5F,11/26/2017,182555
2169EE5A,11/22/2017,268380
8E17631,12/2/2017,155582
2795B70A,11/18/2017,197201
684138A,12/10/2017,167688
2674EBE6,11/20/2017,250190
1C595435,11/24/2017,197201
951C2AC,11/23/2017,206439
33CAFD26,11/11/2017,281612
15AECB5C,12/12/2017,169942
1F7C4F96,12/20/2017,242932
3718BF40,11/2/2017,226649
17334E0E,12/13/2017,276969
3736C070,12/12/2017,235236
168E20E8,12/3/2017,272220
