Date,SKU,Description,Category Description,User Id,Age
12/24/2017,302445,COLORADO LRG RC  NP,Luggage,264BCFBA,20
12/6/2017,303791,SCORPIUS LRG R  WL,Luggage,264BCFBA,20
11/16/2017,200573,ZIG ZAG BANGLE  J4,Jewellery,264BCFBA,20
12/14/2017,217190,CHARM HEART BGL  A4,Jewellery,264BCFBA,20
12/3/2017,302445,COLORADO LRG RC  NP,Luggage,423BED3,29
11/20/2017,187907,DANGLE BANGLES  A4,Jewellery,423BED3,29
11/10/2017,260400,AUTOGRAPH SML RC  TM,Luggage,423BED3,29
11/24/2017,302445,COLORADO LRG RC  NP,Luggage,3D37D85,53
12/3/2017,167688,CASHMERE STRIPE F4,Handbags & Access,3D37D85,53
12/23/2017,187907,DANGLE BANGLES  A4,Jewellery,3D37D85,53
12/21/2017,155500,LEATHER GLOVE  NT,Handbags & Access,3D37D85,53
12/5/2017,173982,POSTMAN MESSENGER B0,Handbags & Access,3D37D85,53
11/25/2017,249218,"CRYSTAL FLOWER RI G4, M-L",Jewellery,3D37D85,53
12/15/2017,297011,VALUE ABS MED RC  IE,Luggage,3D37D85,53
11/11/2017,233242,TRIANGULAR SET  SQ,Jewellery,3D37D85,53
12/26/2017,302445,COLORADO LRG RC  NP,Luggage,2D4C0C6F,33
11/12/2017,221278,PRINT BANGLE  ZZ,Jewellery,2D4C0C6F,33
12/17/2017,297011,VALUE ABS MED RC  IE,Luggage,2D4C0C6F,33
12/10/2017,302445,COLORADO LRG RC  NP,Luggage,31622151,53
12/22/2017,255300,CONCOURSE LARGE  F0,Luggage,31622151,53
11/20/2017,202579,MIDAS TOUCH BANGL  ZZ,Jewellery,31622151,53
12/19/2017,197201,SPARKLE FLOWER RI  Y4,Jewellery,31622151,53
11/3/2017,186064,"MEDINA KIMONO SV, 1SIZE",Handbags & Access,31622151,53
12/28/2017,302445,COLORADO LRG RC  NP,Luggage,345DDF64,38
11/22/2017,266071,ASTROLITE MEDIUM RC Y0,Luggage,345DDF64,38
12/25/2017,286092,PATENT PPORT HLDR  BV,Luggage,345DDF64,38
11/20/2017,276969,CURVY LEATHER  D0,Luggage,345DDF64,38
12/26/2017,302445,COLORADO LRG RC  NP,Luggage,11470AAD,30
11/29/2017,131559,PIPED BOW GLOVE  Y4,Handbags & Access,11470AAD,30
11/9/2017,251718,X3 2 IN 1 ZIP OFF  YC,Luggage,11470AAD,30
11/20/2017,142089,OV SUEDE GLOVE  Y0,Handbags & Access,11470AAD,30
12/8/2017,302445,COLORADO LRG RC  NP,Luggage,7E3C464,52
11/30/2017,257107,ARTEMIS LGE RC  B4,Luggage,7E3C464,52
12/15/2017,198206,FACETED DUO BANGL  N4,Jewellery,7E3C464,52
11/26/2017,155582,LEATHER GLOVE  P0,Handbags & Access,7E3C464,52
11/19/2017,182555,"CASHMERE STRIPE F4, 1SIZE",Handbags & Access,7E3C464,52
12/13/2017,302445,COLORADO LRG RC  NP,Luggage,FFA8A5F,28
12/3/2017,198742,FACETED DUO BANGL  SZ,Jewellery,FFA8A5F,28
11/29/2017,219484,SPECKLE WOOD BANG  R8,Jewellery,FFA8A5F,28
11/21/2017,151269,LEATHER GLOVE  JX,Handbags & Access,FFA8A5F,28
12/26/2017,176256,MEDINA KIMONO SV,Handbags & Access,FFA8A5F,28
12/19/2017,233242,TRIANGULAR SET  SQ,Jewellery,FFA8A5F,28
12/22/2017,302445,COLORADO LRG RC  NP,Luggage,13499803,50
11/21/2017,302445,COLORADO LRG RC  NP,Luggage,13499803,50
12/17/2017,245003,SHINE HEART BL G4,Jewellery,13499803,50
11/30/2017,213702,ORGANIC SWIRL BL  Z4,Jewellery,13499803,50
11/12/2017,274152,TRAVELLER SML 4W  F0,Luggage,13499803,50
12/23/2017,191308,SPARKLE GARDEN RI  ZZ,Jewellery,13499803,50
11/4/2017,140219,OV PLAIN LEATHER  KN,Handbags & Access,13499803,50
12/12/2017,297011,VALUE ABS MED RC  IE,Luggage,13499803,50
12/29/2017,162348,ASHMILLON GLOVE B0,Handbags & Access,13499803,50
12/2/2017,128697,STUDDED BOW GLOVE  Y0,Handbags & Access,13499803,50
12/17/2017,302445,COLORADO LRG RC  NP,Luggage,27AFB329,32
11/30/2017,228963,FACET BANGLE  N4,Jewellery,27AFB329,32
