User Id,Date,SKU,Description,Category Description,Age
311DBC84,10/11/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,48
311DBC84,11/11/2017,141740,OV PLAIN LEATHER  VZ,Handbags & Access,48
26C2EE87,12/2/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,25
26C2EE87,12/10/2017,186796,MIMOSA PRINT BANG  N4,Jewellery,25
26C2EE87,10/28/2017,135119,PATENT CHARM GLOV  Y4,Handbags & Access,25
26C2EE87,10/16/2017,222124,INCA STACKERS  H6,Jewellery,25
26C2EE87,9/24/2017,179521,"ASHMILLON BERET A0, 1SIZE",Handbags & Access,25
26A00E7F,11/29/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,41
26A00E7F,11/30/2017,176256,MEDINA KIMONO SV,Handbags & Access,41
26A00E7F,8/26/2017,167688,CASHMERE STRIPE F4,Handbags & Access,41
26A00E7F,12/5/2017,215392,ANIMAL BANGLE  N4,Jewellery,41
69051BA,12/20/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,28
69051BA,10/24/2017,183306,"CASHMERE STRIPE A4, 1SIZE",Handbags & Access,28
3B3572DC,10/2/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,27
3B3572DC,9/11/2017,186796,MIMOSA PRINT BANG  N4,Jewellery,27
3B3572DC,8/25/2017,158770,LEATHER GLOVE  SH,Handbags & Access,27
3B3572DC,9/12/2017,126412,SIDE BOW GLOVE  Y0,Handbags & Access,27
19206248,9/15/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,33
19206248,9/11/2017,138907,OV PLAIN LEATHER  B0,Handbags & Access,33
26223E69,8/8/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,20
26223E69,11/24/2017,186064,"MEDINA KIMONO SV, 1SIZE",Handbags & Access,20
2C866828,8/5/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,30
2C866828,8/13/2017,164260,ASHMILLON BERET A0,Handbags & Access,30
3A3DB970,8/17/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,47
3A3DB970,12/25/2017,166408,ASHMILLON SCARF B0,Handbags & Access,47
3A3DB970,12/18/2017,166102,ASHMILLON SCARF Y0,Handbags & Access,47
3A3DB970,9/22/2017,137072,ANIMAL BUCKLE GLO  SH,Handbags & Access,47
1CD0E367,9/29/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,34
1CD0E367,11/14/2017,169942,CASHMERE STRIPE A4,Handbags & Access,34
1CD0E367,9/28/2017,200172,FACETED DUO BANGL  Y4,Jewellery,34
1CD0E367,9/3/2017,182555,"CASHMERE STRIPE F4, 1SIZE",Handbags & Access,34
1CD0E367,11/21/2017,204552,MERIBEL BANGLE  TW,Jewellery,34
1CD0E367,9/9/2017,189455,ZEBRA BANGLE  Y4,Jewellery,34
34103139,11/8/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,23
34103139,11/17/2017,158770,LEATHER GLOVE  SH,Handbags & Access,23
34103139,9/13/2017,141244,OV PLAIN LEATHER  SH,Handbags & Access,23
2B820DDD,10/11/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,23
2B820DDD,9/4/2017,151661,LEATHER GLOVE  KN,Handbags & Access,23
2B820DDD,10/11/2017,150031,LEATHER GLOVE  J0,Handbags & Access,23
2B820DDD,11/5/2017,150031,LEATHER GLOVE  J0,Handbags & Access,23
2B820DDD,12/14/2017,129446,MULTI BUTTON GLOV  VS,Handbags & Access,23
2B820DDD,10/7/2017,191879,FLOWER SPKLE RING  R4,Jewellery,23
2B820DDD,10/27/2017,211153,HAMMERED STACKER  S4,Jewellery,23
2B820DDD,9/25/2017,200573,ZIG ZAG BANGLE  J4,Jewellery,23
33A7713B,10/18/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,42
33A7713B,10/10/2017,183306,"CASHMERE STRIPE A4, 1SIZE",Handbags & Access,42
33A7713B,10/28/2017,176256,MEDINA KIMONO SV,Handbags & Access,42
33A7713B,8/28/2017,173025,PLAIN WOOL/SILK NP,Handbags & Access,42
33A7713B,10/11/2017,193499,DAISY DUKE RING  S4,Jewellery,42
33A7713B,10/29/2017,155500,LEATHER GLOVE  NT,Handbags & Access,42
AB97C4B,11/27/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,30
AB97C4B,8/30/2017,221278,PRINT BANGLE  ZZ,Jewellery,30
AB97C4B,10/10/2017,143768,LEATHER GLOVE  AS,Handbags & Access,30
AB97C4B,10/27/2017,191787,FLORAL RING  Y4,Jewellery,30
A11DAD3,8/3/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,39
A11DAD3,10/11/2017,126412,SIDE BOW GLOVE  Y0,Handbags & Access,39
A11DAD3,10/18/2017,181610,"ASHMILLON SCARF B0, 1SIZE",Handbags & Access,39
A7A7271,12/12/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,39
A7A7271,8/11/2017,186796,MIMOSA PRINT BANG  N4,Jewellery,39
A7A7271,9/24/2017,173025,PLAIN WOOL/SILK NP,Handbags & Access,39
2149FC10,11/4/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,47
2149FC10,11/10/2017,141861,OV PLAIN LEATHER  Y0,Handbags & Access,47
2149FC10,10/30/2017,137072,ANIMAL BUCKLE GLO  SH,Handbags & Access,47
21CBAD0E,9/2/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,55
21CBAD0E,9/26/2017,198742,FACETED DUO BANGL  SZ,Jewellery,55
21CBAD0E,11/28/2017,173025,PLAIN WOOL/SILK NP,Handbags & Access,55
21CBAD0E,9/28/2017,225315,SPICE BANGLE  N4,Jewellery,55
21CBAD0E,9/14/2017,173982,POSTMAN MESSENGER B0,Handbags & Access,55
21CBAD0E,10/28/2017,155500,LEATHER GLOVE  NT,Handbags & Access,55
172F9FC2,12/2/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,51
2FC9B37F,12/16/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,31
2FC9B37F,11/28/2017,186796,MIMOSA PRINT BANG  N4,Jewellery,31
2FC9B37F,10/7/2017,183306,"CASHMERE STRIPE A4, 1SIZE",Handbags & Access,31
2FC9B37F,11/18/2017,131559,PIPED BOW GLOVE  Y4,Handbags & Access,31
2FC9B37F,12/9/2017,182555,"CASHMERE STRIPE F4, 1SIZE",Handbags & Access,31
2FC9B37F,12/12/2017,197201,SPARKLE FLOWER RI  Y4,Jewellery,31
1813A626,9/13/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,35
1813A626,12/13/2017,141740,OV PLAIN LEATHER  VZ,Handbags & Access,35
1813A626,11/11/2017,181450,"ASHMILLON SCARF Y0, 1SIZE",Handbags & Access,35
1813A626,8/19/2017,200172,FACETED DUO BANGL  Y4,Jewellery,35
1813A626,8/6/2017,124549,PIPED DRIVING GLO  F0,Handbags & Access,35
7235321,9/7/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,41
7235321,12/8/2017,176256,MEDINA KIMONO SV,Handbags & Access,41
7235321,12/30/2017,193499,DAISY DUKE RING  S4,Jewellery,41
7235321,12/9/2017,122451,CURVE BOW GLOVE  A4,Handbags & Access,41
6C6C1DA,8/7/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,41
6C6C1DA,10/19/2017,145748,LEATHER GLOVE  D0,Handbags & Access,41
6C6C1DA,9/25/2017,141861,OV PLAIN LEATHER  Y0,Handbags & Access,41
6C6C1DA,10/16/2017,179521,"ASHMILLON BERET A0, 1SIZE",Handbags & Access,41
3782DCC3,10/23/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,25
3782DCC3,8/4/2017,198742,FACETED DUO BANGL  SZ,Jewellery,25
3782DCC3,12/24/2017,211153,HAMMERED STACKER  S4,Jewellery,25
4284AD6,9/24/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,41
4284AD6,9/16/2017,186796,MIMOSA PRINT BANG  N4,Jewellery,41
4284AD6,9/29/2017,189455,ZEBRA BANGLE  Y4,Jewellery,41
1063FAFB,9/28/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,25
1063FAFB,12/22/2017,223062,SPECKLED BANGLE  N4,Jewellery,25
1063FAFB,9/23/2017,131559,PIPED BOW GLOVE  Y4,Handbags & Access,25
1063FAFB,10/20/2017,191373,BRUSHED MOON RING  T4,Jewellery,25
1063FAFB,8/29/2017,197201,SPARKLE FLOWER RI  Y4,Jewellery,25
1063FAFB,8/30/2017,197201,SPARKLE FLOWER RI  Y4,Jewellery,25
1063FAFB,8/17/2017,219484,SPECKLE WOOD BANG  R8,Jewellery,25
2FF0239,9/16/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,21
2FF0239,12/3/2017,137551,OV PLAIN LEATHER  A0,Handbags & Access,21
2FF0239,10/22/2017,137551,OV PLAIN LEATHER  A0,Handbags & Access,21
2FF0239,8/27/2017,137551,OV PLAIN LEATHER  A0,Handbags & Access,21
2FF0239,11/23/2017,185847,"PLAIN WOOL/SILK NP, 1SIZE",Handbags & Access,21
2FF0239,8/24/2017,141244,OV PLAIN LEATHER  SH,Handbags & Access,21
154F69C2,11/30/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,35
154F69C2,9/17/2017,186796,MIMOSA PRINT BANG  N4,Jewellery,35
154F69C2,12/1/2017,184019,"BOBBLE SCARF F4, 1SIZE",Handbags & Access,35
154F69C2,8/24/2017,211153,HAMMERED STACKER  S4,Jewellery,35
154F69C2,8/23/2017,219484,SPECKLE WOOD BANG  R8,Jewellery,35
2B9390E1,8/24/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,37
2B9390E1,10/29/2017,166408,ASHMILLON SCARF B0,Handbags & Access,37
7B2432B,10/28/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,38
7B2432B,10/29/2017,141740,OV PLAIN LEATHER  VZ,Handbags & Access,38
7B2432B,12/17/2017,191373,BRUSHED MOON RING  T4,Jewellery,38
14608B65,11/11/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,35
14608B65,8/17/2017,150031,LEATHER GLOVE  J0,Handbags & Access,35
14608B65,11/22/2017,158770,LEATHER GLOVE  SH,Handbags & Access,35
14608B65,8/14/2017,142089,OV SUEDE GLOVE  Y0,Handbags & Access,35
14608B65,10/21/2017,185847,"PLAIN WOOL/SILK NP, 1SIZE",Handbags & Access,35
22EAAE2F,8/4/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,51
22EAAE2F,10/8/2017,221278,PRINT BANGLE  ZZ,Jewellery,51
22EAAE2F,11/14/2017,221278,PRINT BANGLE  ZZ,Jewellery,51
22EAAE2F,10/27/2017,131559,PIPED BOW GLOVE  Y4,Handbags & Access,51
22EAAE2F,12/2/2017,155500,LEATHER GLOVE  NT,Handbags & Access,51
22EAAE2F,11/21/2017,137072,ANIMAL BUCKLE GLO  SH,Handbags & Access,51
22EAAE2F,8/15/2017,126412,SIDE BOW GLOVE  Y0,Handbags & Access,51
118A9ADE,11/1/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,34
118A9ADE,12/20/2017,155582,LEATHER GLOVE  P0,Handbags & Access,34
118A9ADE,10/15/2017,211153,HAMMERED STACKER  S4,Jewellery,34
118A9ADE,11/2/2017,172185,BOBBLE SCARF F4,Handbags & Access,34
1504700B,8/7/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,29
1504700B,8/23/2017,186796,MIMOSA PRINT BANG  N4,Jewellery,29
1504700B,11/18/2017,138907,OV PLAIN LEATHER  B0,Handbags & Access,29
1504700B,11/9/2017,138907,OV PLAIN LEATHER  B0,Handbags & Access,29
1504700B,9/23/2017,142089,OV SUEDE GLOVE  Y0,Handbags & Access,29
1504700B,8/7/2017,158319,LEATHER GLOVE  S0,Handbags & Access,29
9D1DDA6,11/3/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,36
9D1DDA6,10/3/2017,147552,LEATHER GLOVE  IE,Handbags & Access,36
9D1DDA6,9/19/2017,155582,LEATHER GLOVE  P0,Handbags & Access,36
A1685F2,12/25/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,28
A1685F2,10/12/2017,150031,LEATHER GLOVE  J0,Handbags & Access,28
172C8B95,12/17/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,55
172C8B95,11/27/2017,129446,MULTI BUTTON GLOV  VS,Handbags & Access,55
1C0D4A72,10/20/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,55
1C0D4A72,10/22/2017,214049,WOOD DIP BANGLE  W5,Jewellery,55
1C0D4A72,12/16/2017,166408,ASHMILLON SCARF B0,Handbags & Access,55
1C0D4A72,9/4/2017,166102,ASHMILLON SCARF Y0,Handbags & Access,55
1C0D4A72,10/9/2017,155500,LEATHER GLOVE  NT,Handbags & Access,55
1C0D4A72,9/21/2017,172185,BOBBLE SCARF F4,Handbags & Access,55
250EB59D,8/24/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,35
250EB59D,9/6/2017,191308,SPARKLE GARDEN RI  ZZ,Jewellery,35
250EB59D,11/21/2017,141244,OV PLAIN LEATHER  SH,Handbags & Access,35
3010EA80,10/10/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,26
3010EA80,9/18/2017,122451,CURVE BOW GLOVE  A4,Handbags & Access,26
A53617B,11/18/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,36
A53617B,12/4/2017,137551,OV PLAIN LEATHER  A0,Handbags & Access,36
